  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
   26 1978  1     163.00   253.00     0.00  1130.75    78.75 38192.75 38192.75  5703.00  1591.50   249.24   465.95   110.26     4.04    23.75    81.17    81.17    81.17    73.53    78.45    12.02     0.00     4.26     0.74  1625.50 
   26 1991  2     164.25   290.50     0.00  9901.25    36.50 110238.25 110238.25 38881.00  4444.25   322.26   417.08   187.32     3.85    24.25    92.38    92.38    92.38    50.37    80.76    29.97     0.00     9.43     0.34 10392.50 
   26 2013  3      18.25    33.25     0.00  3836.00     1.75 376612.25 376612.25 20950.00   533.00   390.92   396.22   346.24     5.07   706.75   100.00   100.00   100.00     1.00    94.65    96.64     0.00     1.03     0.33  3889.25 
   27 1978  1     164.50   265.50     0.00  1172.75    85.50 38477.50 38477.50  5886.25  1625.00   250.18   466.00   110.67     4.03    23.25    84.29    84.29    84.29    76.52    81.45    12.09     0.00     4.39     0.74  1688.25 
   27 1991  2     162.75   304.00     0.00 10543.75    38.50 115808.75 115808.75 40607.00  4354.75   324.35   415.01   192.00     3.80    26.25    95.93    95.93    95.93    52.71    83.83    31.36     0.00     9.54     0.34 11049.00 
   27 2013  3      21.00    38.00     0.00  3730.25     4.00 376250.75 376250.75 20645.00   545.75   390.49   396.04   346.07     5.06   691.50   100.00   100.00   100.00     1.00    97.75    96.55     0.00     1.01     0.33  3793.25 
   28 1978  1      33.75    40.25     0.00   376.50    72.75 34513.25 34513.25  2610.50   450.25   236.82   474.63   104.81     4.08    76.25    17.13    52.39    64.48    76.18    17.08    11.10     0.00     1.52     0.80   523.25 
   28 1991  2      44.00    62.25     0.00  1456.50    36.25 47450.75 47450.75  8665.25  1411.00   253.74   464.04   122.90     3.95    33.50    19.49    59.62    73.38    60.20    18.68    14.33     0.00     3.37     0.29  1599.00 
   28 2013  3      50.00    86.25     0.00  8141.75    33.50 144361.25 144361.25 32673.00  2644.50   325.37   421.59   214.36     4.08    54.25    24.26    74.22    91.34    10.19    23.68    38.68     0.00     5.76     0.37  8311.50 
   29 1978  1      74.50     2.50     0.00   412.50     5.75 34625.75 34625.75  2233.00   494.75   236.51   474.58   104.98     4.09    69.25    37.84    81.81     2.05    67.55    41.25    11.13     0.00     1.43     0.80   495.25 
